targa,utente,quotazione
giggino,AB452CD,9554
targa,utente,quotazione
giggino,AB370CD,9296
targa,utente,quotazione
giggino,AB821CD,9687
targa,utente,quotazione
giggino,AB036CD,9385
targa,utente,quotazione
giggino,AB726CD,9592
targa,utente,quotazione
giggino,AB538CD,9482
targa,utente,quotazione
giggino,AB320CD,9256
targa,utente,quotazione
giggino,AB001CD,9372
targa,utente,quotazione
giggino,AB333CD,9456
targa,utente,quotazione
giggino,AB835CD,9000
targa,utente,quotazione
giggino,AB635CD,9497
targa,utente,quotazione
giggino,AB463CD,9227
